timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
UHS.N,0.762,0.186,0.834,0.822,0.927,0.935,0.022,0.097,0.135,0.18,0.2,0.081,0.768,0.406,0.717,0.49,0.107,0.737,0.255,0.087,0.901,0.089,0.455,0.644,0.608,0.824,0.646,0.204
QRVO.OQ,0.729,0.277,0.121,0.604,0.838,0.729,0.22,0.055,0.42,0.362,0.354,0.384,0.521,0.679,0.747,0.897,0.376,0.525,0.36,0.065,0.145,0.386,0.028,0.818,0.497,0.741,0.368,0.737
CHRW.OQ,0.085,0.853,0.517,0.192,0.038,0.044,0.828,0.826,0.913,0.883,0.521,0.78,0.22,0.659,0.368,0.764,0.046,0.473,0.778,0.109,0.665,0.376,0.556,0.453,0.677,0.984,0.99,0.899
FICO.N,0.816,0.172,0.115,0.636,0.954,0.909,0.004,0.038,0.218,0.291,0.008,0.038,0.485,0.01,0.697,0.98,0.954,0.273,0.036,0.228,0.984,0.255,0.891,0.824,0.869,0.826,0.828,0.988
AMCR.N,0.352,0.325,0.61,0.58,0.378,0.41,0.644,0.701,0.568,0.574,0.295,0.265,0.586,0.554,0.525,0.456,0.214,0.691,0.63,0.301,0.465,0.055,0.21,0.301,0.299,0.612,0.842,0.457
RE.N,0.265,0.541,0.905,0.626,0.297,0.354,0.907,0.853,0.364,0.56,0.855,0.917,0.434,0.628,0.533,0.505,0.176,0.552,0.246,0.168,0.97,0.172,0.895,0.408,0.915,0.279,0.101,0.287
BDX.N,0.034,0.972,0.584,0.046,0.174,0.107,0.295,0.766,0.931,0.954,0.335,0.919,0.026,0.465,0.065,0.386,0.648,0.485,0.485,0.792,0.785,0.646,0.634,0.059,0.305,0.166,0.234,0.051
MPWR.OQ,0.802,0.331,0.022,0.392,0.871,0.697,0.158,0.079,0.57,0.463,0.238,0.426,0.339,0.2,0.297,0.958,0.943,0.012,0.885,0.271,0.009,0.665,0.822,0.958,0.154,0.97,0.915,0.352
ZION.OQ,0.651,0.354,0.929,0.848,0.653,0.596,0.927,0.406,0.21,0.226,0.974,0.949,0.764,0.99,0.792,0.074,0.543,0.881,0.22,0.028,0.176,0.499,0.038,0.952,0.267,0.663,0.499,0.693
PFG.OQ,0.873,0.166,0.743,0.859,0.861,0.875,0.792,0.416,0.097,0.152,0.897,0.642,0.806,0.82,0.857,0.505,0.265,0.517,0.366,0.374,0.219,0.408,0.602,0.501,0.081,0.889,0.952,0.903
APTV.N,0.941,0.057,0.166,0.903,0.972,0.952,0.396,0.059,0.067,0.059,0.596,0.073,0.909,0.644,0.891,0.256,0.271,0.618,0.511,0.453,0.081,0.463,0.259,0.891,0.048,0.477,0.459,0.949
PCAR.OQ,0.226,0.778,0.646,0.41,0.402,0.299,0.543,0.84,0.723,0.632,0.697,0.83,0.337,0.558,0.343,0.407,0.238,0.655,0.459,0.564,0.541,0.705,0.77,0.234,0.558,0.457,0.527,0.81
WBD.OQ,0.584,0.497,0.521,0.816,0.745,0.806,0.412,0.032,0.444,0.273,0.77,0.663,0.661,0.976,0.715,0.208,0.141,0.964,0.077,0.412,0.384,0.584,0.077,0.972,0.481,0.917,0.778,0.398
SPGI.N,0.507,0.531,0.174,0.212,0.455,0.515,0.149,0.307,0.687,0.604,0.057,0.166,0.366,0.044,0.477,0.954,0.949,0.214,0.533,0.857,0.929,0.782,0.477,0.378,0.816,0.323,0.374,0.895
AMP.N,0.842,0.164,0.511,0.741,0.699,0.685,0.905,0.487,0.19,0.208,0.873,0.648,0.77,0.846,0.82,0.103,0.438,0.935,0.869,0.543,0.188,0.4,0.786,0.596,0.372,0.081,0.079,0.663
BFb.N,0.17,0.816,0.525,0.202,0.095,0.111,0.618,0.82,0.788,0.869,0.523,0.814,0.174,0.331,0.331,0.739,0.863,0.184,0.877,0.529,0.562,0.222,0.23,0.097,0.772,0.079,0.366,0.624
PEAK.N,0.671,0.451,0.568,0.681,0.733,0.836,0.107,0.283,0.22,0.349,0.196,0.141,0.675,0.164,0.507,0.192,0.84,0.743,0.345,0.186,0.467,0.073,0.048,0.364,0.59,0.307,0.123,0.265
LH.N,0.517,0.461,0.428,0.584,0.764,0.675,0.042,0.297,0.374,0.461,0.16,0.147,0.618,0.257,0.511,0.76,0.251,0.568,0.347,0.376,0.301,0.202,0.255,0.291,0.271,0.422,0.2,0.495
MTB.N,0.422,0.57,0.984,0.82,0.289,0.317,0.949,0.883,0.315,0.38,0.98,0.98,0.707,0.966,0.624,0.07,0.747,0.394,0.109,0.451,0.172,0.356,0.202,0.632,0.234,0.689,0.62,0.139
CVX.N,0.487,0.372,0.968,0.758,0.333,0.719,0.446,0.616,0.412,0.218,0.78,0.232,0.883,0.63,0.925,0.416,0.281,0.168,0.372,0.968,0.24,0.97,0.885,0.475,0.077,0.135,0.313,0.135
NRG.N,0.529,0.392,0.513,0.632,0.343,0.521,0.537,0.954,0.38,0.507,0.517,0.331,0.689,0.287,0.604,0.683,0.014,0.919,0.198,0.026,0.47,0.339,0.554,0.707,0.39,0.964,0.663,0.022
CE.N,0.764,0.224,0.745,0.81,0.818,0.834,0.501,0.099,0.2,0.162,0.691,0.24,0.83,0.923,0.842,0.885,0.198,0.982,0.39,0.117,0.245,0.206,0.117,0.782,0.455,0.733,0.588,0.525
KDP.OQ,0.073,0.79,0.483,0.337,0.046,0.067,0.879,0.978,0.919,0.921,0.434,0.588,0.392,0.291,0.374,0.296,0.628,0.539,0.333,0.701,0.378,0.735,0.319,0.02,0.152,0.192,0.226,0.418
WRB.N,0.309,0.515,0.913,0.568,0.23,0.307,0.921,0.915,0.396,0.677,0.887,0.925,0.495,0.661,0.473,0.184,0.325,0.352,0.501,0.339,0.337,0.313,0.703,0.232,0.808,0.24,0.467,0.182
SEDG.OQ,0.97,0.075,0.018,0.881,0.98,0.964,0.055,0.006,0.188,0.063,0.012,0.01,0.885,0.103,0.945,0.638,0.814,0.109,0.816,0.244,0.749,0.76,0.84,0.988,0.509,0.891,0.503,0.921
CPT.N,0.438,0.752,0.459,0.438,0.584,0.622,0.115,0.44,0.414,0.547,0.186,0.341,0.39,0.162,0.376,0.107,0.915,0.62,0.422,0.137,0.778,0.04,0.341,0.238,0.891,0.432,0.218,0.048
HUM.N,0.392,0.576,0.422,0.226,0.366,0.503,0.2,0.818,0.574,0.717,0.289,0.416,0.416,0.063,0.226,0.433,0.101,0.461,0.59,0.764,0.98,0.707,0.727,0.206,0.945,0.582,0.554,0.406
STE.N,0.362,0.64,0.402,0.303,0.487,0.616,0.24,0.295,0.537,0.566,0.129,0.293,0.323,0.152,0.349,0.572,0.659,0.366,0.521,0.327,0.949,0.109,0.681,0.626,0.96,0.574,0.717,0.105
ROST.OQ,0.81,0.212,0.347,0.76,0.747,0.891,0.467,0.743,0.18,0.271,0.588,0.178,0.802,0.202,0.594,0.741,0.402,0.156,0.863,0.612,0.604,0.554,0.352,0.804,0.527,0.388,0.147,0.725
AKAM.OQ,0.188,0.863,0.182,0.042,0.135,0.101,0.667,0.634,0.949,0.899,0.125,0.543,0.105,0.135,0.083,0.702,0.624,0.42,0.517,0.178,0.813,0.434,0.19,0.497,0.867,0.962,0.966,0.816
ETSY.OQ,0.947,0.162,0.006,0.594,0.834,0.796,0.002,0.01,0.406,0.307,0.004,0.006,0.747,0.071,0.881,0.844,0.824,0.374,0.036,0.232,0.111,0.731,0.349,0.986,0.382,0.988,0.867,0.976
FIS.N,0.556,0.471,0.23,0.374,0.677,0.691,0.426,0.428,0.602,0.537,0.24,0.204,0.604,0.59,0.572,0.313,0.505,0.758,0.101,0.62,0.675,0.592,0.02,0.923,0.6,0.289,0.012,0.517
DHI.N,0.881,0.105,0.152,0.806,0.735,0.802,0.02,0.299,0.192,0.267,0.014,0.024,0.812,0.022,0.887,0.921,0.149,0.463,0.226,0.519,0.895,0.638,0.745,0.723,0.663,0.893,0.917,0.713
CMG.N,0.719,0.182,0.061,0.495,0.426,0.475,0.796,0.576,0.541,0.564,0.202,0.085,0.76,0.028,0.622,0.68,0.721,0.012,0.937,0.598,0.993,0.745,0.937,0.665,0.984,0.834,0.756,0.873
BLK.N,0.768,0.352,0.224,0.38,0.792,0.673,0.263,0.323,0.438,0.364,0.285,0.392,0.446,0.513,0.222,0.222,0.812,0.152,0.489,0.851,0.095,0.754,0.188,0.608,0.4,0.618,0.814,0.925
TXT.N,0.848,0.244,0.758,0.826,0.729,0.737,0.83,0.331,0.139,0.143,0.846,0.626,0.762,0.806,0.731,0.305,0.21,0.586,0.374,0.22,0.194,0.2,0.428,0.41,0.109,0.531,0.523,0.887
PLD.N,0.588,0.598,0.226,0.323,0.493,0.598,0.364,0.305,0.592,0.521,0.115,0.123,0.57,0.087,0.147,0.323,1.0,0.368,0.414,0.846,0.683,0.77,0.731,0.592,0.711,0.212,0.549,0.541
MRNA.OQ,0.089,0.945,0.046,0.006,0.683,0.018,0.129,0.141,0.994,0.982,0.002,0.731,0.002,0.244,0.002,1.0,0.576,0.061,0.578,0.788,0.078,0.832,0.624,0.97,0.368,0.863,0.414,0.313
RCL.N,0.996,0.008,0.269,0.992,0.994,0.992,0.978,0.028,0.006,0.006,0.964,0.034,0.99,0.725,0.976,0.004,0.321,0.962,0.588,0.156,0.853,0.442,0.62,0.984,0.954,0.978,0.949,0.812
ROL.N,0.095,0.891,0.408,0.156,0.131,0.137,0.329,0.828,0.897,0.925,0.281,0.796,0.063,0.453,0.145,0.891,0.844,0.044,0.925,0.311,0.745,0.028,0.749,0.259,0.933,0.695,0.96,0.798
TECH.OQ,0.465,0.376,0.083,0.313,0.529,0.382,0.127,0.23,0.689,0.703,0.085,0.323,0.188,0.281,0.519,0.776,0.958,0.071,0.81,0.17,0.818,0.265,0.362,0.721,0.515,0.444,0.584,0.487
VLO.N,0.808,0.101,0.988,0.921,0.715,0.911,0.836,0.796,0.079,0.073,0.976,0.745,0.911,0.887,0.947,0.117,0.022,0.527,0.386,0.689,0.044,0.772,0.818,0.869,0.2,0.776,0.568,0.222
NDAQ.OQ,0.42,0.622,0.267,0.251,0.43,0.457,0.222,0.539,0.713,0.638,0.244,0.531,0.255,0.319,0.261,0.429,0.756,0.408,0.695,0.509,0.58,0.394,0.572,0.246,0.451,0.394,0.713,0.834
NEM.N,0.051,0.879,0.469,0.184,0.58,0.293,0.046,0.042,0.887,0.729,0.121,0.202,0.438,0.327,0.479,0.361,0.554,0.41,0.275,0.59,0.347,0.695,0.192,0.701,0.444,0.404,0.143,0.255
ROK.N,0.558,0.614,0.337,0.564,0.475,0.533,0.414,0.455,0.582,0.43,0.273,0.251,0.572,0.188,0.646,0.644,0.646,0.295,0.889,0.503,0.099,0.347,0.628,0.683,0.541,0.543,0.671,0.907
FMC.N,0.455,0.483,0.545,0.675,0.497,0.499,0.325,0.503,0.337,0.414,0.626,0.349,0.723,0.38,0.556,0.57,0.511,0.497,0.683,0.238,0.135,0.149,0.473,0.341,0.044,0.471,0.586,0.96
CFG.N,0.869,0.141,0.945,0.897,0.875,0.889,0.911,0.335,0.085,0.091,0.956,0.679,0.893,0.974,0.865,0.07,0.578,0.784,0.095,0.347,0.236,0.653,0.057,0.711,0.293,0.378,0.232,0.552
STT.N,0.752,0.194,0.675,0.64,0.754,0.727,0.903,0.325,0.335,0.216,0.905,0.826,0.719,0.945,0.685,0.045,0.941,0.84,0.125,0.489,0.17,0.461,0.287,0.727,0.16,0.069,0.01,0.739
STLD.OQ,0.741,0.178,0.707,0.796,0.59,0.792,0.832,0.426,0.331,0.168,0.723,0.152,0.905,0.798,0.824,0.982,0.105,0.442,0.362,0.285,0.109,0.539,0.905,0.881,0.063,0.818,0.186,0.655
SNA.N,0.333,0.774,0.885,0.667,0.543,0.451,0.63,0.713,0.448,0.446,0.794,0.802,0.531,0.836,0.618,0.905,0.477,0.232,0.479,0.139,0.897,0.087,0.56,0.198,0.513,0.933,0.994,0.38
CMCSA.OQ,0.186,0.804,0.669,0.341,0.319,0.188,0.598,0.511,0.79,0.766,0.543,0.812,0.18,0.653,0.457,0.345,0.23,0.842,0.305,0.907,0.679,0.929,0.121,0.43,0.903,0.451,0.564,0.042
GNRC.N,0.794,0.426,0.055,0.56,0.646,0.717,0.16,0.073,0.56,0.354,0.075,0.143,0.451,0.772,0.733,0.818,0.259,0.475,0.475,0.012,0.497,0.101,0.105,0.992,0.76,0.986,0.675,0.091
DPZ.N,0.055,0.893,0.19,0.158,0.107,0.077,0.717,0.962,0.978,0.956,0.099,0.529,0.091,0.024,0.095,0.99,0.501,0.721,0.036,0.141,0.071,0.37,0.172,0.574,0.143,0.907,0.685,0.384
PNC.N,0.594,0.442,0.796,0.717,0.582,0.568,0.885,0.675,0.313,0.301,0.915,0.901,0.655,0.964,0.586,0.063,0.743,0.719,0.178,0.758,0.101,0.794,0.055,0.539,0.194,0.333,0.471,0.861
