Instrument,Date,Price Close,Volume,Company Market Capitalization,Price To Sales Per Share (Daily Time Series Ratio),Beta,Earnings Per Share - Actual,Price To Book Value Per Share (Daily Time Series Ratio),Forward Price To Book Value Per Share (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),Total Return,Number of Trades,Combined Alpha Model Sector Rank,Combined Alpha Model Industry Rank
MHK.N,2023-04-17 00:00:00+00:00,99.17,119154,6315104940.3,0.53804805036864,1.27265080457556,1.32,0.786451938080875,0.738801957791664,346.675522617634,33.2718875577355,1.25587094139269,1173,59,80
MHK.N,2023-04-14 00:00:00+00:00,97.94,120385,6236779044.6,0.53137467029449,1.27179625505817,1.32,0.776697618389038,0.729638638157866,342.375725372301,33.5823277084192,-0.608889790947847,1761,51,80
MHK.N,2023-04-13 00:00:00+00:00,98.54,194365,6274986798.6,0.534629977647734,1.27196911189579,1.32,0.781455823116763,0.734108550174353,344.473187443195,33.430173065294,0.725748747827873,1540,52,80
MHK.N,2023-04-12 00:00:00+00:00,97.83,196904,6229774289.7,0.530777863946396,1.27203660174881,1.32,0.775825280855622,0.728819154288177,341.991190659303,33.6103730899777,-2.28725529364763,2175,51,80
MHK.N,2023-04-11 00:00:00+00:00,100.12,239078,6375600550.8,0.543202287011276,1.27216932409605,1.32,0.793985762233107,0.745879318484435,349.996504229883,33.036017252884,5.70101351351352,2038,52,80
MHK.N,2023-04-10 00:00:00+00:00,94.72,158974,6031730764.8,0.513904520832082,1.27213240854782,1.32,0.751161919683578,0.705650110336053,331.119345591835,34.4231452340161,2.30046441300356,1357,45,70
MHK.N,2023-04-06 00:00:00+00:00,92.59,149533,5896093238.1,0.502348179728067,1.27213240854782,1.32,0.734270292900154,0.689781922677525,323.673355240161,35.0028652396363,-1.08962717658369,1715,50,80
MHK.N,2023-04-05 00:00:00+00:00,93.61,253518,5961046419.9,0.507882202228581,1.27213240854782,1.32,0.742359240937286,0.697380773105553,327.239040760681,34.7228359265484,-2.02009629474566,2764,49,70
MHK.N,2023-04-04 00:00:00+00:00,95.54,183397,6083948028.6,0.518353440881515,1.27174819228923,1.32,0.757664799478137,0.711758990091919,333.985877088724,34.2050534953908,-3.6798064321,1599,48,70
MHK.N,2023-04-03 00:00:00+00:00,99.19,178132,6316378532.1,0.538156560613748,1.27251232563567,1.32,0.786610544905132,0.73895095485888,346.745438019997,33.266887164723,-1.02773897425664,1702,47,70
